active_energy_burned,unit,date_components
57.699,Cal,4/20/2023
47.506,Cal,4/21/2023
55.094,Cal,4/22/2023
100.558,Cal,4/23/2023
50.153,Cal,4/24/2023
55.023,Cal,4/25/2023
65.179,Cal,4/26/2023
51.43,Cal,4/27/2023
57.922,Cal,4/28/2023
137.168,Cal,4/29/2023
39.828,Cal,4/30/2023
45.485,Cal,5/1/2023
62.09,Cal,5/2/2023
60.598,Cal,5/3/2023
57.27,Cal,5/4/2023
70.28,Cal,5/5/2023
53.4783,Cal,5/6/2023
116.476,Cal,5/7/2023
81.764,Cal,5/8/2023
56.086,Cal,5/9/2023
52.906,Cal,5/10/2023
67.287,Cal,5/11/2023
35.304,Cal,5/12/2023
54.969,Cal,5/13/2023
85.293,Cal,5/14/2023
65.05,Cal,5/15/2023
61.457,Cal,5/16/2023
64.879,Cal,5/17/2023
53.752,Cal,5/18/2023
46.841,Cal,5/19/2023
169.041,Cal,5/20/2023
65.069,Cal,5/21/2023
89.028,Cal,5/22/2023
66.691,Cal,5/23/2023
42.062,Cal,5/24/2023
66.537,Cal,5/25/2023
72.843,Cal,5/26/2023
110.227,Cal,5/27/2023
287.824,Cal,5/28/2023
490.848,Cal,5/29/2023
53.551,Cal,5/30/2023
45.069,Cal,5/31/2023
59.409,Cal,6/1/2023
146.747,Cal,6/2/2023
132.433,Cal,6/3/2023
70.693,Cal,6/4/2023
51.308,Cal,6/5/2023
46.853,Cal,6/6/2023
65.996,Cal,6/7/2023
54,Cal,6/8/2023
38.075,Cal,6/9/2023
35.469,Cal,6/10/2023
67.8944,Cal,6/11/2023
58.7726,Cal,6/12/2023
59.814,Cal,6/13/2023
60.784,Cal,6/14/2023
80.167,Cal,6/15/2023
78.807,Cal,6/16/2023
52.595,Cal,6/17/2023
77.533,Cal,6/18/2023
64.1186,Cal,6/19/2023
48.3194,Cal,6/20/2023
56.1851,Cal,6/21/2023
56.7999,Cal,6/22/2023
62.852,Cal,6/23/2023
79.458,Cal,6/24/2023
35.134,Cal,6/25/2023
61.188,Cal,6/26/2023
45.77,Cal,6/27/2023
51.985,Cal,6/28/2023
41.715,Cal,6/29/2023
59.085,Cal,6/30/2023
72.032,Cal,7/1/2023
23.71,Cal,7/2/2023
68.073,Cal,7/3/2023
95.143,Cal,7/4/2023
45.226,Cal,7/5/2023
54.326,Cal,7/6/2023
66.094,Cal,7/7/2023
56.185,Cal,7/8/2023
46.605,Cal,7/9/2023
70.1785,Cal,7/10/2023
49.4525,Cal,7/11/2023
72.797,Cal,7/12/2023
45.606,Cal,7/13/2023
67.2935,Cal,7/14/2023
311.498,Cal,7/15/2023
157.849,Cal,7/16/2023
50.525,Cal,7/17/2023
74.975,Cal,7/18/2023
32.933,Cal,7/19/2023
60.757,Cal,7/20/2023
46.17,Cal,7/21/2023
41.915,Cal,7/22/2023
66.181,Cal,7/23/2023
54.157,Cal,7/24/2023
45.964,Cal,7/25/2023
41.6663,Cal,7/26/2023
49.0317,Cal,7/27/2023
59.783,Cal,7/28/2023
65.32,Cal,7/29/2023
219.978,Cal,7/30/2023
54.462,Cal,7/31/2023
40.225,Cal,8/1/2023
88.148,Cal,8/2/2023
41.389,Cal,8/3/2023
56.67,Cal,8/4/2023
54.2791,Cal,8/5/2023
86.3969,Cal,8/6/2023
43.037,Cal,8/7/2023
54.4989,Cal,8/8/2023
60.6111,Cal,8/9/2023
37.863,Cal,8/10/2023
53.8544,Cal,8/11/2023
65.526,Cal,8/12/2023
41.813,Cal,8/13/2023
47.955,Cal,8/14/2023
64.036,Cal,8/15/2023
88.266,Cal,8/16/2023
40.784,Cal,8/17/2023
55.2438,Cal,8/18/2023
53.5112,Cal,8/19/2023
59.943,Cal,8/20/2023
54.063,Cal,8/21/2023
51.392,Cal,8/22/2023
93.724,Cal,8/23/2023
51.567,Cal,8/24/2023
43.113,Cal,8/25/2023
90.124,Cal,8/26/2023
115.659,Cal,8/27/2023
63.066,Cal,8/28/2023
46.783,Cal,8/29/2023
47.8437,Cal,8/30/2023
65.1143,Cal,8/31/2023
49.746,Cal,9/1/2023
221.772,Cal,9/2/2023
114.65,Cal,9/3/2023
33.24,Cal,9/4/2023
47.513,Cal,9/5/2023
61.849,Cal,9/6/2023
40.868,Cal,9/7/2023
39.007,Cal,9/8/2023
55.341,Cal,9/9/2023
50.15,Cal,9/10/2023
107.118,Cal,9/11/2023
44.099,Cal,9/12/2023
53.065,Cal,9/13/2023
44.585,Cal,9/14/2023
54.2237,Cal,9/15/2023
427.618,Cal,9/16/2023
310.568,Cal,9/17/2023
41.188,Cal,9/18/2023
32.954,Cal,9/19/2023
105.778,Cal,9/20/2023
59.327,Cal,9/21/2023
42.385,Cal,9/22/2023
151.55,Cal,9/23/2023
174.572,Cal,9/24/2023
44.169,Cal,9/25/2023
41.586,Cal,9/26/2023
52.349,Cal,9/27/2023
44.43,Cal,9/28/2023
41.977,Cal,9/29/2023
54.029,Cal,9/30/2023
37.335,Cal,10/1/2023
29.983,Cal,10/2/2023
38.319,Cal,10/3/2023
87.543,Cal,10/4/2023
37.85,Cal,10/5/2023
41.13,Cal,10/6/2023
67.521,Cal,10/7/2023
84.187,Cal,10/8/2023
83.796,Cal,10/9/2023
54.4906,Cal,10/10/2023
87.3964,Cal,10/11/2023
49.861,Cal,10/12/2023
49.302,Cal,10/13/2023
123.31,Cal,10/14/2023
61.45,Cal,10/15/2023
47.548,Cal,10/16/2023
40.889,Cal,10/17/2023
48.591,Cal,10/18/2023
51.1136,Cal,10/19/2023
42.8074,Cal,10/20/2023
24.19,Cal,10/21/2023
120.429,Cal,10/22/2023
104.213,Cal,10/23/2023
63.445,Cal,10/24/2023
51.238,Cal,10/25/2023
82.246,Cal,10/26/2023
47.658,Cal,10/27/2023
